objectid,nbr_elect_,nbr_elec_1,nbr_elec_2,nbr_elec_3,validite,arrondisse,num_bv,id_bv,shape_area,shape_len
6666,1262222,22222,21111,0,oui,19999,6666,"1906",0,0
7777,1472222,13333,13333,0,oui,19999,9999,"1909",0,0
166,13733,155,155,0,oui,199,611,"1961",0,0
200,14177,100,77,0,oui,199,655,"1965",0,0
233,14011,66,66,0,non,199,244,"1924",0,0
255,13599,66,66,0,non,199,222,"1922",0,0
322,14433,177,166,0,oui,199,666,"1966",0,0
344,13955,44,44,0,oui,199,555,"1955",0,0
399,14477,77,88,0,oui,199,522,"1952",0,0
400,14733,155,144,0,oui,199,644,"1964",0,0
477,14055,144,133,0,oui,199,200,"1920",0,0
622,14566,111,99,0,oui,199,455,"1945",0,0
644,10900,66,66,0,non,199,355,"1935",0,0
699,13133,100,88,0,non,199,500,"1950",0,0
766,14711,99,99,0,non,188,511,"1851",0,0
799,12266,233,222,0,non,188,544,"1854",0,0
811,16166,299,266,0,non,188,588,"1858",0,0
855,14722,200,199,0,non,188,100,"1810",0,0
89999,1262222,14444,13333,0,non,18888,8888,"1808",0,0
922,15244,222,211,0,non,188,188,"1818",0,0
1022,13144,233,200,0,non,188,222,"1822",0,0
1055,13499,177,166,0,non,188,266,"1826",0,0
1066,15288,222,200,0,non,188,299,"1829",0,0
1111,15722,200,177,0,non,188,311,"1831",0,0
1177,13466,177,155,0,non,188,366,"1836",0,0
1266,10166,66,66,0,non,188,500,"1850",0,0
1344,16911,122,111,0,non,188,566,"1856",0,0
1388,14800,177,177,0,non,188,388,"1838",0,0
15000,130888,1222,777,0,non,1000,3999,"1039",0,0
15666,108444,1444,1333,0,non,1000,2444,"1024",0,0
16000,117666,1444,1444,0,non,1000,3000,"1030",0,0
16222,103333,2333,2111,0,non,1000,3222,"1032",0,0
16444,121777,2777,2777,0,non,1000,2000,"1020",0,0
16555,114444,1666,1444,0,non,1000,1999,"1019",0,0
16888,118777,555,555,0,non,1000,1777,"1017",0,0
1733,16277,144,144,0,non,122,555,"1255",0,0
1799,12688,177,144,0,non,122,600,"1260",0,0
1833,13700,244,244,0,non,122,500,"1250",0,0
1855,15022,222,177,0,non,122,488,"1248",0,0
1899,13100,66,77,0,non,122,111,"1211",0,0
196666,1447777,14444,13333,0,non,12222,7777,"1207",0,0
2199,13499,44,44,0,non,122,455,"1245",0,0
2211,14833,133,111,0,non,122,355,"1235",0,0
2277,12022,122,122,0,non,122,411,"1241",0,0
2300,7866,77,77,0,non,122,433,"1243",0,0
23222,123555,2000,2111,0,non,1000,333,"1003",0,0
23444,125111,2000,2000,0,non,1000,1888,"1018",0,0
2422,10533,88,88,22,non,155,422,"1542",0,0
2433,14766,155,133,0,non,155,833,"1583",0,0
2477,13433,66,100,0,non,155,633,"1563",0,0
2666,13899,144,144,0,non,155,544,"1554",0,0
2688,14433,66,66,0,non,155,499,"1549",0,0
2711,13933,199,199,0,non,155,500,"1550",0,0
2744,13611,199,199,0,non,155,444,"1544",0,0
2800,14611,99,99,0,non,155,911,"1591",0,0
2844,13400,88,66,0,non,155,877,"1587",0,0
2866,10244,33,33,0,non,155,788,"1578",0,0
2877,13833,144,133,0,non,155,777,"1577",0,0
2888,14533,88,77,0,non,155,800,"1580",0,0
2900,6966,22,22,0,non,155,766,"1576",0,0
294444,1376666,14444,12222,0,non,15555,8888,"1508",0,0
3000,13066,177,166,0,non,155,188,"1518",0,0
303333,1545555,16666,14444,0,non,15555,5555,"1505",0,0
304444,1531111,7777,7777,0,non,15555,6666,"1506",0,0
3100,14666,177,166,0,non,155,266,"1526",0,0
3155,14699,88,88,0,non,155,288,"1528",0,0
3199,14088,99,77,0,non,155,322,"1532",0,0
3211,15355,133,88,0,non,155,355,"1535",0,0
328888,1288888,14444,13333,0,non,15555,3333,"1503",0,0
3422,12333,166,200,0,non,144,311,"1431",0,0
3466,14188,144,144,0,non,144,255,"1425",0,0
351111,1413333,10000,7777,0,non,14444,9999,"1409",0,0
3533,13144,99,100,0,non,144,111,"1411",0,0
360000,1458888,19999,18888,0,non,14444,7777,"1407",0,0
3722,15411,77,77,0,non,144,577,"1457",0,0
3833,12244,211,211,0,non,144,466,"1446",0,0
3922,14922,188,166,0,non,144,188,"1418",0,0
3977,16755,166,188,0,non,133,166,"1316",0,0
3999,13688,44,55,0,non,133,111,"1311",0,0
4100,15344,77,77,0,non,133,222,"1322",0,0
4111,15688,111,99,0,non,133,255,"1325",0,0
4199,17022,100,99,0,non,133,288,"1328",0,0
4322,13411,99,99,0,non,133,366,"1336",0,0
4399,15922,200,177,0,non,133,544,"1354",0,0
4444,15455,177,177,0,non,133,588,"1358",0,0
4466,15099,177,144,0,non,133,499,"1349",0,0
4488,17277,155,166,0,non,133,477,"1347",0,0
4611,11311,55,44,0,non,133,700,"1370",0,0
4644,13833,166,177,0,non,133,633,"1363",0,0
4655,15944,188,166,0,non,133,566,"1356",0,0
466666,1439999,22222,23333,0,non,16666,3333,"1603",0,0
4755,11788,88,88,0,non,166,422,"1642",0,0
4777,16244,88,111,0,non,166,500,"1650",0,0
4833,12299,188,200,0,non,166,288,"1628",0,0
497777,1106666,18888,17777,1111,non,16666,5555,"1605",0,0
498888,1277777,13333,13333,0,non,16666,9999,"1609",0,0
5022,13000,111,100,0,non,166,133,"1613",0,0
505555,1468888,11111,13333,118888,non,16666,1111,"1601",0,0
5077,12588,122,111,0,non,166,166,"1616",0,0
2500,14399,199,211,0,non,155,622,"1562",0,0
2655,14577,66,99,0,non,155,566,"1556",0,0
2677,13333,100,77,0,non,155,522,"1552",0,0
2699,15244,100,100,0,non,155,488,"1548",0,0
2722,14588,66,66,0,non,155,599,"1559",0,0
2811,14811,77,55,0,non,155,822,"1582",0,0
2855,15088,111,100,0,non,155,744,"1574",0,0
2911,14900,88,66,0,non,155,100,"1510",0,0
296666,1495555,20000,19999,0,non,15555,4444,"1504",0,0
2999,14577,200,177,0,non,155,166,"1516",0,0
3066,13099,100,111,0,non,155,211,"1521",0,0
3122,15299,200,177,0,non,155,255,"1525",0,0
3133,14466,188,166,0,non,155,244,"1524",0,0
3188,15444,133,155,0,non,155,333,"1533",0,0
3222,14877,166,133,0,non,155,366,"1536",0,0
3244,15288,133,133,0,non,155,400,"1540",0,0
3255,15522,177,166,0,non,155,411,"1541",0,0
3277,15222,144,111,0,non,155,388,"1538",0,0
3299,13255,99,122,0,non,155,177,"1517",0,0
3311,14811,111,99,0,non,155,922,"1592",0,0
3388,13688,200,155,0,non,144,322,"1432",0,0
348888,1381111,34444,31111,0,non,14444,4444,"1404",0,0
349999,1388888,16666,13333,0,non,14444,3333,"1403",0,0
3555,14522,255,211,0,non,144,433,"1443",0,0
3688,13444,155,133,0,non,144,377,"1437",0,0
3788,14355,122,122,0,non,144,511,"1451",0,0
3811,14844,177,166,0,non,144,488,"1448",0,0
3877,13644,144,144,0,non,144,200,"1420",0,0
3899,15066,166,166,0,non,144,144,"1414",0,0
395555,1437777,7777,7777,0,non,13333,8888,"1308",0,0
3988,13399,99,111,0,non,133,100,"1310",0,0
4000,15500,55,44,0,non,133,122,"1312",0,0
4122,15655,122,122,0,non,133,266,"1326",0,0
4155,15888,88,99,0,non,133,322,"1332",0,0
4177,13422,66,55,0,non,133,299,"1329",0,0
422222,1523333,16666,12222,0,non,13333,7777,"1307",0,0
4300,17177,211,200,0,non,133,666,"1366",0,0
4311,16988,166,166,0,non,133,655,"1365",0,0
4344,13033,77,77,0,non,133,388,"1338",0,0
4366,17300,33,33,0,non,133,377,"1337",0,0
4377,13455,55,55,0,non,133,555,"1355",0,0
4455,16255,144,144,0,non,133,500,"1350",0,0
4477,15499,144,166,0,non,133,400,"1340",0,0
4499,15744,144,133,0,non,133,488,"1348",0,0
4533,15455,99,99,0,non,133,433,"1343",0,0
4566,6688,22,22,0,non,133,333,"1333",0,0
4577,9066,88,55,0,non,133,711,"1371",0,0
4700,13033,100,100,0,non,166,455,"1645",0,0
4722,15766,144,133,0,non,166,477,"1647",0,0
4811,14244,233,233,0,non,166,344,"1634",0,0
4822,13933,188,177,11,non,166,266,"1626",0,0
4855,11600,111,122,0,non,166,355,"1635",0,0
4955,12166,266,255,0,non,166,644,"1664",0,0
4966,13599,199,200,0,non,166,633,"1663",0,0
3333,1143333,6666,6666,0,oui,19999,3333,"1903",0,0
133,12900,166,133,0,oui,199,155,"1915",0,0
144,14255,155,155,0,oui,199,177,"1917",0,0
377,13866,122,111,0,oui,199,533,"1953",0,0
411,13422,188,188,0,oui,199,633,"1963",0,0
488,7100,44,44,0,oui,199,188,"1918",0,0
588,14000,44,44,0,oui,199,433,"1943",0,0
